col0,col1,col2,col3,col4,col5
Laurel Drive-In,United States of America,"10770 Laurel Canyon Boulevard, Pacoima, CA 91331",Pacoima,Los Angeles,former building or structure
Sunland Drive-In,United States of America,"8010 Foothill Boulevard, Sunland, Los Angeles CA 91040",Sunland-Tujunga,Los Angeles,drive-in theater
San Pedro Drive-In,United States of America,"1811 N. Gaffey Street, San Pedro, CA 90731",San Pedro,Los Angeles,drive-in theater
Reseda Drive-In,United States of America,"18441 Vanowen Street, Reseda, CA 91335",Reseda,Los Angeles,drive-in theater
Laurel Drive-In,United States of America,"10770 Laurel Canyon Boulevard, Pacoima, CA 91331",Pacoima,Los Angeles,drive-in theater
Sunland Drive-In,United States of America,"8010 Foothill Boulevard, Sunland, Los Angeles CA 91040",Sunland-Tujunga,Los Angeles,movie theater
San Pedro Drive-In,United States of America,"1811 N. Gaffey Street, San Pedro, CA 90731",San Pedro,Los Angeles,movie theater
Reseda Drive-In,United States of America,"18441 Vanowen Street, Reseda, CA 91335",Reseda,Los Angeles,movie theater
Laurel Drive-In,United States of America,"10770 Laurel Canyon Boulevard, Pacoima, CA 91331",Pacoima,Los Angeles,movie theater
Winnetka 6 Drive-In,United States of America,"20210 Prairie Avenue, Chatsworth, CA 91311",Chatsworth,Los Angeles,former building or structure
