col0,col1,col2,col3
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Sex steroid hormone metabolism takes place in human ocular cells.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,"Requirement of epidermal growth factor receptor for hyperplasia induced by E5, a high-risk human papillomavirus oncogene."
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Role of p38 mitogen-activated protein kinase in axotomy-induced apoptosis of rat retinal ganglion cells.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Specific interaction between HPV-16 E1-E4 and cytokeratins results in collapse of the epithelial cell intermediate filament network.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Mitogen-activated protein kinase kinase inhibition does not block the stimulation of glucose utilization by insulin.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Human papillomavirus type 16 E5 protein localizes to the Golgi apparatus but does not grossly affect cellular glycosylation.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,When is a lipid kinase not a lipid kinase? When it is a protein kinase.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Control of human papillomavirus type 11 origin of replication by the E2 family of transcription regulatory proteins.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Estrogen receptor in the human eye: influence of gender and age on gene expression.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Cell-mediated immunological responses in cervical and vaginal cancer patients immunized with a lipidated epitope of human papillomavirus type 16 E7.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Oxidative stress in glaucoma: a burden of evidence.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Human antibodies react with an epitope of the human papillomavirus type 6b L1 open reading frame which is distinct from the type-common epitope.
RETRACTED: Estrogens and neuroprotection in retinal diseases.,"Full retraction of Kumar DM, Simpkins JW, Agarwal N. Estrogens and neuroprotection in retinal diseases. Mol Vis. 2008;14:1480-6. Review",Creative Commons Attribution 3.0 Unported,Novel mechanisms for estrogen-induced neuroprotection.
Human papillomavirus type 16 E5 protein as a therapeutic target.,Retraction: Human papillomavirus type 16 e5 protein as a therapeutic target. Yonsei med j 2006;47(1):1-14.,Creative Commons Attribution-NonCommercial 3.0 Unported,Human papillomavirus 16 E6 expression disrupts the p53-mediated cellular response to DNA damage
