col0,col1,col2,col3,col4,col5,col6
Portrait of Francis Planté.,portrait,Francis Planté,Kingdom of Italy,Biedermeier,24.5,Paola Gambara Bovardi
Portrait of Carlo Botta.,portrait,Carlo Giuseppe Guglielmo Botta,Kingdom of Italy,Biedermeier,14,Paola Gambara Bovardi
Portrait of Henri Herz.,portrait,Henri Herz,Kingdom of Italy,Biedermeier,21,Paola Gambara Bovardi
Portrait of Charles Lecocq.,portrait,Charles Lecocq,Kingdom of Italy,Biedermeier,18.5,Paola Gambara Bovardi
Portrait of François-Joseph Fétis.,portrait,François-Joseph Fétis,Kingdom of Italy,Biedermeier,22.5,Paola Gambara Bovardi
Portrait of Julius Benedict.,portrait,Julius Benedict,Kingdom of Italy,Biedermeier,21,Paola Gambara Bovardi
Portrait of Michele Carafa.,portrait,Michele Carafa,Kingdom of Italy,Biedermeier,26,Paola Gambara Bovardi
Portrait of Francesco Paolo Tosti.,portrait,Francesco Paolo Tosti,Kingdom of Italy,Biedermeier,21.5,Paola Gambara Bovardi
Portrait of Pierre-Louis Dietsch.,portrait,Pierre-Louis Dietsch,Kingdom of Italy,Biedermeier,12.5,Paola Gambara Bovardi
Portrait of Fromental Halévy.,portrait,Fromental Halévy,Kingdom of Italy,Biedermeier,13.5,Paola Gambara Bovardi
Portrait of Henri Vieuxtemps.,portrait,Henri Vieuxtemps,Kingdom of Italy,Biedermeier,20.5,Paola Gambara Bovardi
