col0,col1,col2,col3,col4,col5
Goudenregenstraat,wheelchair inaccessible,Netherlands,RandstadRail,Tram line 12 (The Hague),Laan van Meerdervoort
Fahrenheitstraat,wheelchair inaccessible,Netherlands,RandstadRail,Tram line 12 (The Hague),Laan van Meerdervoort
Goudenregenstraat,wheelchair accessible,Netherlands,RandstadRail,Tram line 12 (The Hague),Laan van Meerdervoort
Fahrenheitstraat,wheelchair accessible,Netherlands,RandstadRail,Tram line 12 (The Hague),Laan van Meerdervoort
Voorburg 't Loo,wheelchair accessible,Netherlands,RandstadRail,Line E,Monseigneur van Steelaan
De Rade,wheelchair accessible,Netherlands,RandstadRail,RandstadRail 4,Meppelweg
Monstersestraat,wheelchair accessible,Netherlands,trams in The Hague,Tram line 2 (The Hague),Loosduinseweg
De La Reyweg,wheelchair accessible,Netherlands,trams in The Hague,Tram line 2 (The Hague),Loosduinseweg
Monstersestraat,wheelchair accessible,Netherlands,RandstadRail,Tram line 2 (The Hague),Loosduinseweg
De La Reyweg,wheelchair accessible,Netherlands,RandstadRail,Tram line 2 (The Hague),Loosduinseweg
Monstersestraat,wheelchair accessible,Netherlands,trams in The Hague,Tram line 2 (The Hague),Loosduinsekade
De La Reyweg,wheelchair accessible,Netherlands,trams in The Hague,Tram line 2 (The Hague),Loosduinsekade
