col0,col1,col2,col3
Side Effects,Algonquin Books,paroxetine,"A Prosecutor, a Whistleblower, and a Bestselling Antidepressant on Trial"
No Place Like Home,University of California Press,cinema of Germany,Locations of Heimat in German Cinema
Understanding Power,The New Press,power,The Indispensable Chomsky
Crux Ansata,Penguin Books,Catholic Church and Nazi Germany during World War II,An Indictment of the Roman Catholic Church
Phantoms in the Brain,HarperCollins,neurological disorder,Human Nature and the Architecture of the Mind
Joseph and His Friend: A Story of Pennsylvania,G. P. Putnam's Sons,male homosexuality,A Story of Pennsylvania
Phantoms in the Brain,HarperCollins,neurophysiology,Human Nature and the Architecture of the Mind
Against Method,Verso Books,history of science,Outline of an Anarchist Theory of Knowledge
Phantoms in the Brain,HarperCollins,philosophy of mind,Human Nature and the Architecture of the Mind
The Black Swan,Random House,epistemology,The Impact of the Highly Improbable
Phantoms in the Brain,HarperCollins,neuropsychology,Human Nature and the Architecture of the Mind
Crux Ansata,Penguin Books,Pius XII,An Indictment of the Roman Catholic Church
Temporary Autonomous Zone,Autonomedia,anarchism,"The Temporary Autonomous Zone, Ontological Anarchy, Poetic Terrorism"
