col0,col1,col2,col3,col4,col5,col6
2013 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,2015 European Mixed Team Badminton Championships,Germany national badminton team,2013-02-17,2011 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
2011 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,2013 European Mixed Team Badminton Championships,Germany national badminton team,2011-02-20,2009 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
2002 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,2004 European Mixed Team Badminton Championships,Germany national badminton team,2002-04-20,2000 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
2000 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,2002 European Mixed Team Badminton Championships,Germany national badminton team,2000-04-30,1998 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1998 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,2000 European Mixed Team Badminton Championships,Germany national badminton team,1998-04-25,1996 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1996 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,1998 European Mixed Team Badminton Championships,Germany national badminton team,1996-04-20,1994 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1994 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,1996 European Mixed Team Badminton Championships,Germany national badminton team,1994-04-17,1992 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1982 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,1984 European Mixed Team Badminton Championships,Germany national badminton team,1982-04-18,1980 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1980 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,1982 European Mixed Team Badminton Championships,Germany national badminton team,1980-04-20,1978 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1978 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,1980 European Mixed Team Badminton Championships,Germany national badminton team,1978-04-15,1976 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1992 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,1994 European Mixed Team Badminton Championships,Germany national badminton team,1992-04-18,1990 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
1976 European Mixed Team Badminton Championships,European Mixed Team Badminton Championships,1978 European Mixed Team Badminton Championships,Germany national badminton team,1976-04-07,1974 European Mixed Team Badminton Championships,WikiProject Badminton/tournament focus list
