col0,col1,col2,col3,col4,col5,col6,col7
2002 Fed Cup,Fed Cup,International Tennis Federation,2002-03-04,2002-11-03,tennis tournament edition,women's sports,tennis
1996 Fed Cup,Fed Cup,International Tennis Federation,1996-01-19,1996-09-29,tennis tournament edition,women's sports,tennis
1990 Federation Cup,Fed Cup,International Tennis Federation,1990-07-21,1990-07-29,tennis tournament edition,women's sports,tennis
1991 Federation Cup,Fed Cup,International Tennis Federation,1991-07-18,1991-07-28,tennis tournament edition,women's sports,tennis
1993 Federation Cup,Fed Cup,International Tennis Federation,1993-07-19,1993-07-25,tennis tournament edition,women's sports,tennis
1992 Federation Cup,Fed Cup,International Tennis Federation,1992-07-13,1992-07-19,tennis tournament edition,women's sports,tennis
1994 Federation Cup,Fed Cup,International Tennis Federation,1994-07-18,1994-07-24,tennis tournament edition,women's sports,tennis
1995 Fed Cup,Fed Cup,International Tennis Federation,1995-03-27,1995-11-26,tennis tournament edition,women's sports,tennis
1999 Fed Cup,Fed Cup,International Tennis Federation,1999-02-22,1999-09-19,tennis tournament edition,women's sports,tennis
1998 Fed Cup,Fed Cup,International Tennis Federation,1998-02-16,1998-09-20,tennis tournament edition,women's sports,tennis
2001 Fed Cup,Fed Cup,International Tennis Federation,2001-04-09,2001-11-01,tennis tournament edition,women's sports,tennis
2000 Fed Cup,Fed Cup,International Tennis Federation,2000-04-25,2000-11-25,tennis tournament edition,women's sports,tennis
1989 Federation Cup,Fed Cup,International Tennis Federation,1989-10-01,1989-10-09,tennis tournament edition,women's sports,tennis
