col0,col1,col2,col3,col4
2015–16 Istres Ouest Provence Volley-Ball season,2016–17 Ittihad FC season,France,Istres Ouest Provence Volley-Ball,2015-2016 one-year-period
2015–16 Trentino Volley season,2016–17 Trentino Volley season,Italy,Trentino Volley,2015-2016 one-year-period
2015–16 Stade Poitevin Poitiers season,2016–17 Stade Poitevin Poitiers season,France,Stade Poitevin Poitiers,2015-2016 one-year-period
2015–16 Tours VB season,2016–17 Tours VB season,France,Tours Volley-Ball,2015-2016 one-year-period
2015–16 Tonno Callipo Vibo Valentia season,2016–17 Tonno Callipo Vibo Valentia season,Italy,Tonno Callipo Vibo Valentia,2015-2016 one-year-period
2015–16 Copra Volley season,2016–17 Copra Volley season,Italy,Copra Volley,2015-2016 one-year-period
2015–16 Arago de Sète season,2016–17 Arago de Sète season,France,Arago de Sète,2015-2016 one-year-period
2015–16 RC Cannes season,2016–17 RC Cannes season,France,RC Cannes,2015-2016 one-year-period
2015–16 Rote Raben Vilsbiburg season,2016–17 Rote Raben Vilsbiburg season,Germany,Rote Raben Vilsbiburg,2015-2016 one-year-period
2015–16 VfB 91 Suhl season,2016–17 VfB 91 Suhl season,Germany,VfB 91 Suhl,2015-2016 one-year-period
2015–16 VC Stuttgart season,2016–17 VC Stuttgart season,Germany,VC Stuttgart,2015-2016 one-year-period
2015–16 SC Potsdam season,2016–17 SC Potsdam season,Germany,SC Potsdam,2015-2016 one-year-period
