col0,col1,col2,col3,col4
2018 Giro Rosa,Urska Zigart,"2018 Giro d'Italia Femminile, stage 1",2017 Giro d'Italia Femminile,Giorgia Bronzini
2019 Emakumeen Euskal Bira,Sophie Wright,2019 Emakumeen Euskal Bira stage 2,2018 Emakumeen Euskal Bira,Elisa Longo Borghini
2019 The Women's Tour,Martina Alzini,"2019 The Women's Tour, stage 1",2018 The Women's Tour,Lisa Brennauer
2017 Ladies Tour of Norway,Lisa Klein,"2017 Ladies Tour of Norway, Stage 3",2016 Ladies Tour of Norway,Ellen van Dijk
2019 Tour of Chongming Island,Teresa Ripoll Sabate,"2019 Tour of Chongming Island, stage 2",Tour of Chongming Island 2018,Nina Kessler
2019 Tour of California,Chloe Dygert,"2019 Tour of California (women), stage 3",2018 Tour of California (women),Lizzie Deignan
2019 Tour of Chongming Island,Teresa Ripoll Sabate,"2019 Tour of Chongming Island, stage 1",Tour of Chongming Island 2018,Lorena Wiebes
2019 Emakumeen Euskal Bira,Nikola Nosková,2019 Emakumeen Euskal Bira stage 2,2018 Emakumeen Euskal Bira,Margarita Victoria García
Tour of Chongming Island 2017,Anastasia Chursina,Tour of Chongming Island 2017 2nd stage,2016 Tour of Chongming Island,Anna Zita Maria Stricker
2019 Emakumeen Euskal Bira,Nikola Nosková,2019 Emakumeen Euskal Bira stage 2,2018 Emakumeen Euskal Bira,Sheyla Gutiérrez
Tour of Chongming Island 2017,Anastasia Chursina,Tour of Chongming Island 2017 2nd stage,2016 Tour of Chongming Island,Chloe Hosking
2019 Emakumeen Euskal Bira,Nikola Nosková,2019 Emakumeen Euskal Bira stage 2,2018 Emakumeen Euskal Bira,Elisa Longo Borghini
Tour of Chongming Island 2017,Pang Yao,Tour of Chongming Island 2017 2nd stage,2016 Tour of Chongming Island,Jolien D'Hoore
2019 Tour of Chongming Island,Teresa Ripoll Sabate,"2019 Tour of Chongming Island, stage 1",Tour of Chongming Island 2018,Nina Kessler
