col0,col1,col2,col3,col4,col5
1912 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,sports season,1911 Scottish Badminton Championships,national championship
1911 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,sports season,1910 Scottish Badminton Championships,national championship
1910 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,sports season,1909 Scottish Badminton Championships,national championship
1932 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1931 Scottish Badminton Championships,national championship
1931 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1930 Scottish Badminton Championships,national championship
1930 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1929 Scottish Badminton Championships,national championship
1929 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1928 Scottish Badminton Championships,national championship
1928 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1927 Scottish Badminton Championships,national championship
1927 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1926 Scottish Badminton Championships,national championship
1926 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1925 Scottish Badminton Championships,national championship
1925 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1924 Scottish Badminton Championships,national championship
1924 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1923 Scottish Badminton Championships,national championship
