col0,col1,col2,col3,col4
Uzbek Wikibooks,Uzbek,Wikimedia Foundation,Wikibooks language edition,Wikimedia Foundation
Kurdish Wikibooks,Kurdish languages,Wikimedia Foundation,Wikibooks language edition,Wikimedia Foundation
Tajik Wikibooks,Tajik,Wikimedia Foundation,Wikibooks language edition,Wikimedia Foundation
Kazakh Wikibooks,Kazakh,Wikimedia Foundation,Wikibooks language edition,Wikimedia Foundation
Serbian Wikibooks,Serbian,Wikimedia Foundation,Wikibooks language edition,Wikimedia Foundation
Chinese Wikibooks,Chinese,Wikimedia Foundation,Wikibooks language edition,Wikimedia Foundation
Wikimedia Meta-Wiki,multiple languages,Wikimedia Foundation,multi-script Wikimedia site,Wikimedia Foundation
Serbian Wikipedia,Serbian,Wikimedia Foundation,multi-script Wikimedia site,Wikimedia Foundation
Chinese Wikinews,Chinese,Wikimedia Foundation,Wikinews language edition,Wikimedia Foundation
Chinese Wikivoyage,Chinese,Wikimedia Foundation,Wikivoyage language edition,Wikimedia Foundation
Wikimedia Incubator,multiple languages,Wikimedia Foundation,MediaWiki website,Wikimedia Foundation
Wikidata,multiple languages,Wikimedia Foundation,MediaWiki website,Wikimedia Foundation
Chinese Wikisource,Chinese,Wikimedia Foundation,Wikisource language edition,Wikimedia Foundation
