col0,col1,col2,col3,col4,col5,col6,col7
1979 E3 Harelbeke,Frank Hoste,Harelbeke,road bicycle racing,Belgium,1978 E3 Harelbeke,1980 E3 Harelbeke,TI-Raleigh-McGregor 1979
2013 E3 Harelbeke,Fabian Cancellara,Harelbeke,road bicycle racing,Belgium,2012 E3 Harelbeke,2014 E3 Harelbeke,Orica-GreenEDGE 2013
2011 E3 Harelbeke,Jürgen Roelandts,Harelbeke,road bicycle racing,Belgium,2010 E3 Harelbeke,2012 E3 Harelbeke,SpiderTech-C10 2011
2013 E3 Harelbeke,Fabian Cancellara,Harelbeke,road bicycle racing,Belgium,2012 E3 Harelbeke,2014 E3 Harelbeke,Lotto-Belisol 2013
2011 E3 Harelbeke,Jürgen Roelandts,Harelbeke,road bicycle racing,Belgium,2010 E3 Harelbeke,2012 E3 Harelbeke,2011 Saur-Sojasun season
2013 E3 Harelbeke,Fabian Cancellara,Harelbeke,road bicycle racing,Belgium,2012 E3 Harelbeke,2014 E3 Harelbeke,Astana 2013
2011 E3 Harelbeke,Jürgen Roelandts,Harelbeke,road bicycle racing,Belgium,2010 E3 Harelbeke,2012 E3 Harelbeke,Omega Pharma-Lotto 2011
2013 E3 Harelbeke,Fabian Cancellara,Harelbeke,road bicycle racing,Belgium,2012 E3 Harelbeke,2014 E3 Harelbeke,Cannondale 2013
2011 E3 Harelbeke,Jürgen Roelandts,Harelbeke,road bicycle racing,Belgium,2010 E3 Harelbeke,2012 E3 Harelbeke,FDJ 2011
2012 E3 Harelbeke,Óscar Freire,Harelbeke,road bicycle racing,Belgium,2011 E3 Harelbeke,2013 E3 Harelbeke,BMC Racing 2012
