col0,col1,col2,col3,col4
Wine-Harvest Cup,François-Désiré Froment-Meurice,Lot,Department of Decorative Arts of the Louvre,Room 563
Cup,Makron,group of humans,Musée Saint-Raymond,Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26307",YZ Group,drapery,Musée Saint-Raymond,Saint-Raymond Museum reserves
Cup,Makron,skyphos,Musée Saint-Raymond,Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26307",YZ Group,meander,Musée Saint-Raymond,Saint-Raymond Museum reserves
Cup,Makron,himation,Musée Saint-Raymond,Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26307",YZ Group,club,Musée Saint-Raymond,Saint-Raymond Museum reserves
Cup,Makron,aulos,Musée Saint-Raymond,Saint-Raymond Museum reserves
"Musée Saint-Raymond, 26307",YZ Group,Heracles,Musée Saint-Raymond,Saint-Raymond Museum reserves
Cup,Makron,beard,Musée Saint-Raymond,Saint-Raymond Museum reserves
