col0,col1,col2,col3,col4
Ehrenfeld,3.72,city part of Cologne,Germany,Ehrenfeld
Rodenkirchen,3.05,city part of Cologne,Germany,Rodenkirchen
Lövenich,3.71,city part of Cologne,Germany,Lindenthal
Porz,3.12,city part of Cologne,Germany,Porz
Rath/Heumar,12.91,city part of Cologne,Germany,Kalk
Junkersdorf,7.38,city part of Cologne,Germany,Lindenthal
Brück,7.51,city part of Cologne,Germany,Kalk
Merheim,10.6,city part of Cologne,Germany,Kalk
Humboldt/Gremberg,2.82,city part of Cologne,Germany,Kalk
Sülz,5.17,city part of Cologne,Germany,Lindenthal
