col0,col1,col2,col3,col4,col5
Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.,Vitamin D supplementation and risk of respiratory tract infections: a meta-analysis of randomized controlled trials.,Iwona Stelmach,The BMJ,Creative Commons Attribution,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.
Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature,Self-examination therapy as an adjunct treatment for depressive symptoms in substance abusing patients.,Morten Hesse,BMC Psychiatry,Creative Commons Attribution 2.0 Generic,Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature
Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.,High doses of vitamin D to reduce exacerbations in chronic obstructive pulmonary disease: a randomized trial.,Iwona Stelmach,The BMJ,Creative Commons Attribution,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.
Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature,The treatment of substance abusers diagnosed with obsessive-compulsive disorder: an outcome study.,Morten Hesse,BMC Psychiatry,Creative Commons Attribution 2.0 Generic,Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature
Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.,Is a subgroup effect believable? Updating criteria to evaluate the credibility of subgroup analyses.,Iwona Stelmach,The BMJ,Creative Commons Attribution,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.
Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature,Achieving abstinence by treating depression in the presence of substance-use disorders.,Morten Hesse,BMC Psychiatry,Creative Commons Attribution 2.0 Generic,Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature
Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.,Effects of vitamin D supplementation to children diagnosed with pneumonia in Kabul: a randomised controlled trial.,Iwona Stelmach,The BMJ,Creative Commons Attribution,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.
Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature,The impact of co-occurring mood and anxiety disorders among substance-abusing youth.,Morten Hesse,BMC Psychiatry,Creative Commons Attribution 2.0 Generic,Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature
Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.,"Improved control of childhood asthma with low-dose, short-term vitamin D supplementation: a randomized, double-blind, placebo-controlled trial.",Iwona Stelmach,The BMJ,Creative Commons Attribution,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.
Opium and bladder cancer: A systematic review and meta-analysis of the odds ratios for opium use and the risk of bladder cancer.,Opium as a Risk Factor for Bladder Cancer: A Population-based Case-control Study in Iran.,Mahmood Moosazadeh,PLOS ONE,Creative Commons Attribution 4.0 International,Opium and bladder cancer: A systematic review and meta-analysis of the odds ratios for opium use and the risk of bladder cancer.
Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature,Promising treatments for women with comorbid PTSD and substance use disorders.,Morten Hesse,BMC Psychiatry,Creative Commons Attribution 2.0 Generic,Integrated psychological treatment for substance use and co-morbid anxiety or depression vs. treatment for substance use alone. A systematic review of the published literature
Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.,High-Dose Monthly Vitamin D for Prevention of Acute Respiratory Infection in Older Long-Term Care Residents: A Randomized Clinical Trial.,Iwona Stelmach,The BMJ,Creative Commons Attribution,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.
Opium and bladder cancer: A systematic review and meta-analysis of the odds ratios for opium use and the risk of bladder cancer.,International variations in bladder cancer incidence and mortality.,Mahmood Moosazadeh,PLOS ONE,Creative Commons Attribution 4.0 International,Opium and bladder cancer: A systematic review and meta-analysis of the odds ratios for opium use and the risk of bladder cancer.
Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.,Annual high-dose oral vitamin D and falls and fractures in older women: a randomized controlled trial.,Iwona Stelmach,The BMJ,Creative Commons Attribution,Vitamin D supplementation to prevent acute respiratory tract infections: systematic review and meta-analysis of individual participant data.
