col0,col1,col2,col3,col4
Platres,Limassol District,Kato Platres,Communal Council of Platres,Troodos (community)
Vasa Koilaniou,Limassol District,Vasa Kellakiou,Communal Council of Vasa Koilaniou,Potamiou
Platres,Limassol District,Kato Platres,Communal Council of Platres,"Mandria, Limassol"
Kato Lefkara,Larnaca District,Pano Lefkara,Communal Council of Kato Lefkara,Kofinou
Vasa Koilaniou,Limassol District,Vasa Kellakiou,Communal Council of Vasa Koilaniou,Kissousa
Platres,Limassol District,Kato Platres,Communal Council of Platres,Amiantos
Vasa Koilaniou,Limassol District,Vasa Kellakiou,Communal Council of Vasa Koilaniou,Omodos
Platres,Limassol District,Kato Platres,Communal Council of Platres,Foini
Agios Ermolaos,Kyrenia District,Agios Ermolaos,Communal Council of Agios Ermolaos,Agridaki
Platres,Limassol District,Kato Platres,Communal Council of Platres,Kato Platres
Kato Lefkara,Larnaca District,Pano Lefkara,Communal Council of Kato Lefkara,Pano Lefkara
Pyla,Larnaca District,Pile,Communal Council of Pyla,"Pergamos, Cyprus"
