col0,col1,col2,col3,col4,col5,col6
Blagoevgrad Province,Blagoevgrad Municipality,Yugozapaden Planning Region,Bulgaria,Pazardzhik Province,Bulgaria,323522
Sofia Province,Koprivshtitsa Municipality,Yugozapaden Planning Region,Bulgaria,Sofia City Province,Bulgaria,247489
Blagoevgrad Province,Blagoevgrad Municipality,Yugozapaden Planning Region,Bulgaria,Sofia Province,Bulgaria,323522
Burgas Province,Burgas Municipality,Yugoiztochen Planning Region,Bulgaria,Shumen Province,Bulgaria,415817
Yambol Province,Straldzha Municipality,Yugoiztochen Planning Region,Bulgaria,Sliven Province,Bulgaria,123821
Blagoevgrad Province,Blagoevgrad Municipality,Yugozapaden Planning Region,Bulgaria,Macedonia,Bulgaria,323522
Plovdiv Province,Maritsa Municipality,Yuzhen Tsentralen Planning Region,Bulgaria,Lovech Province,Bulgaria,683027
Sliven Province,Tvarditsa Municipality,Yugoiztochen Planning Region,Bulgaria,Targovishte Province,Bulgaria,197473
Haskovo Province,Lyubimets Municipality,Yuzhen Tsentralen Planning Region,Bulgaria,Stara Zagora Province,Bulgaria,246238
Shumen Province,Kaolinovo Municipality,Severoiztochen Planning Region,Bulgaria,Silistra Province,Bulgaria,180528
Plovdiv Province,Parvomay Municipality,Yuzhen Tsentralen Planning Region,Bulgaria,Kardzhali Province,Bulgaria,683027
