col0,col1,col2,col3,col4,col5,col6
QSO B2240-260,-0.329,13.442,BL Lac object,0.0523,340.8600379227918,J2000.0
2QZ J233619.1-304948,2.73,14.483,BL Lac object,0.4191,354.0798401490901,J2000.0
87GB 160401.0+135348,0.009,14.228,BL Lac object,0.3742,241.5766201368589,J2000.0
[VV2000] J203657.0+044953,-0.775,18.9,BL Lac object,0.3634,309.2371319102568,J2000.0
87GB 191759.6+503318,0.101,18.7109,BL Lac object,0.074,289.8284011858243,J2000.0
2MASS J01154616+2519534,-0.21,18.52,BL Lac object,0.0927,18.9422587401646,J2000.0
2MASS J02510919-8226293,-0.34,14.95,BL Lac object,0.0838,42.7884754269643,J2000.0
QSO B0205+350,-0.27,19.24,BL Lac object,0.3678,32.1590134243297,J2000.0
QSO B0808+019,-0.091,17.2,BL Lac object,0.3471,122.861280466208,J2000.0
WISE J191320.90-363019.3,-1.037,19.1983,BL Lac object,0.2724,288.3370449629577,J2000.0
ICRF J085641.8-110514,0.023,17.29,BL Lac object,0.0798,134.1741839505,J2000.0
ICRF J094221.4-075953,-0.098,17.636,BL Lac object,0.0023,145.5894224980519,J2000.0
WISE J062110.35-060954.0,-2.107,19.6449,BL Lac object,0.0193,95.2931758333632,J2000.0
3FHL J2031.0+1936,0.268,14.972,BL Lac object,0.0965,307.7380564403583,J2000.0
