col0,col1,col2,col3,col4,col5
The Mole and the Green Star,Czechoslovakia,Bratři v Triku,color,Miloš Vacek,child
The Mole and the TV Set,Czechoslovakia,Bratři v Triku,color,Miloš Vacek,child
The Mole as a Gardener,Czechoslovakia,Bratři v Triku,color,Miloš Vacek,child
A Doctor's Fairy Tale,Czechoslovakia,Bratři v Triku,color,Jiří Srnka,child
The Mole at the Carnival,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Mole and the Bulldozer,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Mole and the Carpet,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Mole and the Matchbox,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Mole as a Photographer,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Mole as a Watchmaker,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Mole as a Chemist,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Mole at Christmas,Czechoslovakia,Bratři v Triku,color,Vadim Petrov,child
The Cricket and the Spider,Czechoslovakia,Krátký Film Praha,color,Vadim Petrov,child
The Cricket and the Hen,Czechoslovakia,Krátký Film Praha,color,Vadim Petrov,child
