col0,col1,col2,col3,col4
Dick's Picks Volume 23,Nightfall of Diamonds,Grateful Dead Records,12395,Dick's Picks Volume 23
Dick's Picks Volume 19,"View from the Vault, Volume One",Grateful Dead Records,11314,Dick's Picks Volume 19
Dick's Picks Volume 28,"View from the Vault, Volume Four",Grateful Dead Records,18245,Dick's Picks Volume 28
Dick's Picks Volume 20,Ladies and Gentlemen... the Grateful Dead,Grateful Dead Records,18369,Dick's Picks Volume 20
Dick's Picks Volume 27,Go to Nassau,Grateful Dead Records,11781,Dick's Picks Volume 27
Dick's Picks Volume 21,Dick's Picks Volume 20,Grateful Dead Records,11244,Dick's Picks Volume 21
Dick's Picks Volume 22,Dick's Picks Volume 21,Grateful Dead Records,8813,Dick's Picks Volume 22
Fourteen Thousand Three Hundred Eighty Four Days Later,Songs of Betrayal,Triple X Records,4628,Fourteen Thousand Three Hundred Eighty Four Days Later
Go to Nassau,Dick's Picks Volume 26,Arista,9363,Go to Nassau
Fillmore West 1969,Fillmore West 1969: The Complete Recordings,Rhino Entertainment Company,12181,Fillmore West 1969
Dave's Picks Volume 1,Road Trips Volume 4 Number 5,Rhino Entertainment Company,10099,Dave's Picks Volume 1
Crimson White & Indigo,Road Trips Volume 3 Number 2,Rhino Entertainment Company,10498,Crimson White & Indigo
À l'Olympia,Renaissance of the Celtic Harp,Phonogram,2439,Olympia Concert
