col0,col1,col2,col3,col4,col5,col6
León,Spanish,León,toponymic surname,Leon,Latin script,León
Agramonte,Spanish,Agramonte,toponymic surname,Agramont,Latin script,Agramonte
Balaguer,Spanish,Balaguer,family name,Balagué,Latin script,Balaguer
Bergara,Basque,Bergara,family name,Vergara,Latin script,Bergara
Luna,Spanish,Luna,family name,de Luna,Latin script,Luna
Cáceres,Spanish,Cáceres,family name,Caceres,Latin script,Cáceres
Yepes,Spanish,Yepes,family name,Yepez,Latin script,Yepes
León,Spanish,León,family name,Leon,Latin script,León
Agramonte,Spanish,Agramonte,family name,Agramont,Latin script,Agramonte
Quirós,Spanish,Quirós,family name from a specific origin,Quiros,Latin script,Quirós
Abenójar,Spanish,Abenójar,toponymic surname,Abenojar,Latin script,Abenójar
Vidania,Spanish,Vidania,toponymic surname,Bidania,Latin script,Vidania
