col0,col1,col2,col3,col4,col5
1909 Scottish Open Badminton Championships,1909 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1910 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1907 Scottish Open Badminton Championships,1907 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1908 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1926 Scottish Open Badminton Championships,1926 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1927 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
2001 Scottish Open Badminton Championships,2001 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,2002 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1951 Scottish Open Badminton Championships,1951 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1952 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1971 Scottish Open Badminton Championships,1971 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1972 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1996 Scottish Open Badminton Championships,1996 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1997 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1991 Scottish Open Badminton Championships,1991 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1992 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1985 Scottish Open Badminton Championships,1985 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1986 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
2000 Scottish Open Badminton Championships,2000 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,2001 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1993 Scottish Open Badminton Championships,1993 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1994 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1972 Scottish Open Badminton Championships,1972 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1973 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1908 Scottish Open Badminton Championships,1908 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1909 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
1930 Scottish Open Badminton Championships,1930 Scottish Open Badminton Championships – Men's doubles,open championship,Scottish Open Badminton Championships,1931 Scottish Open Badminton Championships,WikiProject Badminton/tournament focus list
