col0,col1,col2,col3,col4,col5,col6
Ursviksfjärden coastal water body,WFD Chemical status: Poor status,Sweden,Skellefte River,3022616,coastal water body,WFD Ecological status: Moderate status
Vändelsö archipelago coastal water body,WFD Chemical status: Poor status,Sweden,Löftaån,32729486,coastal water body,WFD Ecological status: Moderate status
Harrbäcksfjärden coastal water body,WFD Chemical status: Poor status,Sweden,Harrbäcken,3443206,coastal water body,WFD Ecological status: Good status
Lommabukten coastal water body,WFD Chemical status: Poor status,Sweden,Höje River,112311241,coastal water body,WFD Ecological status: Moderate status
Örnsköldsviksfjärden coastal water body,WFD Chemical status: Poor status,Sweden,Moälven,5006753,coastal water body,WFD Ecological status: Moderate status
Pataholmsviken coastal water body,WFD Chemical status: Poor status,Sweden,Alsterån,19595557,coastal water body,WFD Ecological status: Moderate status
Outer Bråviken coastal water body,WFD Chemical status: Poor status,Sweden,Näveån,46656539,coastal water body,WFD Ecological status: Moderate status
Igelstaviken coastal water body,WFD Chemical status: Poor status,Sweden,Södertälje Canal,1917471,coastal water body,WFD Ecological status: Moderate status
Åvaviken coastal water body,WFD Chemical status: Poor status,Sweden,Åvaån,724370,coastal water body,WFD Ecological status: Moderate status
Haparandafjärden coastal water body,WFD Chemical status: Poor status,Sweden,Torne River,39620548,coastal water body,WFD Ecological status: Moderate status
Ljusnefjärden coastal water body,WFD Chemical status: Poor status,Sweden,Ljusnan,7727116,coastal water body,WFD Ecological status: Moderate status
