col0,col1,col2,col3,col4
Portein,Graubünden,3.42,Heinzenberg,Tartar
Tartar,Hinterrhein District,1.55,Heinzenberg,Cazis
Präz,Cazis,11.35,Heinzenberg,Cazis
Tartar,Graubünden,1.55,Heinzenberg,Cazis
Präz,Graubünden,11.35,Heinzenberg,Cazis
Palaiokastritsa,Corfu Municipality,48.4,Corfu,"Agios Georgios, Corfu"
Nerežišća,Split-Dalmatia County,79,Brač,Milna
Sutivan,Brač,22,Brač,Milna
Selca,Split-Dalmatia County,53,Brač,Bol
Nerežišća,Split-Dalmatia County,79,Brač,Bol
Postira,Split-Dalmatia County,47,Brač,Bol
