col0,col1,col2,col3,col4
Extension:SyntaxHighlight,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Extension:Survey,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
SubPageList,PHP,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Extension:Subpage Fun,MediaWiki,ISC license,free software,ParserFirstCallInit
Extension:SortChars,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Extension:SocialProfile,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Extension:Simple Breadcrumb,MediaWiki,"GNU Lesser General Public License, version 3.0",free software,ParserFirstCallInit
Extension:Semantic Page Series,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Semantic Result Formats,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Extension:Semantic Internal Objects,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Page Forms,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
Extension:SelectTag,MediaWiki,"GNU General Public License, version 3.0 or later",free software,ParserFirstCallInit
Extension:SemanticAccessControl,MediaWiki,"Apache Software License, Version 2.0",free software,ParserFirstCallInit
Extension:CollaborationKit,Extension:EventLogging,"GNU General Public License, version 2.0 or later",free software,GetDoubleUnderscoreIDs
Extension:Git2Pages,MediaWiki,"GNU General Public License, version 2.0 or later",free software,ParserFirstCallInit
