col0,col1,col2,col3,col4
Arboiastes 2 (Pauly-Wissowa),Arbogastes 1 (Pauly-Wissowa),1895/01/01,Otto Seeck,Arbogast
Arbitio (Pauly-Wissoa),Arbiter 4 (Pauly-Wissowa),1895/01/01,Otto Seeck,Arbitio
Arbogastes 1 (Pauly-Wivsowa),Arbocala (Pauly-Wissowa),1895/01/01,Otto Seeck,Arbogast
Ἀρχαί (Pauly/Wissowa),Archagoras 2 (Pauly-Wissowa),1895/01/01,Theodor Thalheim,public office
Arbustum (Pauly-Wissrwa),Arbuscula (Pauly-Wissowa),1895/01/01,Franz Olck,arboretum
Arbela 4 (PaulyWissowa),Arbela 3 (Pauly-Wissowa),1895/01/01,Immanuel Benzinger,Irbid
Arbela 2 (Pauly-Wissowc),Arbela 1 (Pauly-Wissowa),1895/01/01,Immanuel Benzinger,Irbid
Araxeu 1 (Pauly-Wissowa),Ἀραξηνὸν πεδίον (Pauly-Wissowa),1895/01/01,Wilhelm Tomaschek,Amu Darya
Baebus 46 (Pauly-Wissowa),Baebius 45 (Pauly-Wissowa),1896/01/01,Elimar Klebs,Gnaeus Baebius Tamphilus Vala Numonianus
Baebius 45 (Paul-Wissowa),Baebius 44 (Pauly-Wissowa),1896/01/01,Elimar Klebs,Quintus Baebius Tamphilus
Astyoche 1 (Pauly-Wissoxa),Astynoos 3 (Pauly-Wissowa),1896/01/01,Jakob Escher-Bürkli,Astyoche
Astyoche 2 (Pauly-Wivsowa),Astyoche 1 (Pauly-Wissowa),1896/01/01,Jakob Escher-Bürkli,Astyoche
Asteriov 10 (Pauly-Wissowa),Asterios 9 (Pauly-Wissowa),1896/01/01,Ludo Moritz Hartmann,Flavius Turcius Rufius Apronianus Asterius
Atilius 46 (Pauly-Xissob),Atilius 45 (Pauly-Wissowa),1896/01/01,Elimar Klebs,Lucius Atilius Priscus
