col0,col1,col2,col3,col4,col5
City of Launceston,West Tamar Council,Australia,Tasmania,Youngtown,383
City of Clarence,Brighton Council,Australia,Tasmania,Lindisfarne,174
City of Launceston,Dorset Council,Australia,Tasmania,Dilston,383
City of Clarence,Sorell Council,Australia,Tasmania,Mount Rumney,174
City of Glenorchy,Huon Valley Council,Australia,Tasmania,Collinsvale,550
City of Hobart,City of Glenorchy,Australia,Tasmania,Mount Stuart,170
City of Glenorchy,City of Hobart,Australia,Tasmania,West Moonah,550
City of Hobart,City of Glenorchy,Australia,Tasmania,Sandy Bay,170
City of Glenorchy,City of Hobart,Australia,Tasmania,Rosetta,550
City of Hobart,City of Glenorchy,Australia,Tasmania,Mount Nelson,170
City of Glenorchy,City of Hobart,Australia,Tasmania,Lutana,550
City of Hobart,City of Glenorchy,Australia,Tasmania,Hobart,170
City of Glenorchy,City of Hobart,Australia,Tasmania,Glenlusk,550
City of Hobart,City of Glenorchy,Australia,Tasmania,Dynnyrne,170
