col0,col1,col2,col3,col4,col5,col6
2021 Spanish International Badminton Championships,2020 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,2021 Spanish International Badminton Championships – Men's doubles,open championship
2020 Spanish International Badminton Championships,2019 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,2020 Spanish International Badminton Championships – Men's doubles,open championship
2019 Spanish International Badminton Championships,2018 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,2019 Spanish International Badminton Championships – Men's doubles,open championship
2018 Spanish International Badminton Championships,2017 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,2018 Spanish International Badminton Championships – Men's doubles,open championship
2017 Spanish International Badminton Championships,2016 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,2017 Spanish International Badminton Championships – Women's singles,open championship
1988 Spanish International Badminton Championships,1987 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,1988 Spanish International Badminton Championships – Men's singles,open championship
1985 Spanish International Badminton Championships,1984 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,1985 Spanish International Badminton Championships – Men's singles,open championship
1984 Spanish International Badminton Championships,1983 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,1984 Spanish International Badminton Championships – Men's singles,open championship
1983 Spanish International Badminton Championships,1982 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,1983 Spanish International Badminton Championships – Men's singles,open championship
1982 Spanish International Badminton Championships,1981 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,1982 Spanish International Badminton Championships – Men's singles,open championship
1981 Spanish International Badminton Championships,1980 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,1981 Spanish International Badminton Championships – Men's singles,open championship
1980 Spanish International Badminton Championships,1979 Spanish International Badminton Championships,badminton,Spain,Spanish International Badminton Championships,1980 Spanish International Badminton Championships – Men's singles,open championship
