col0,col1,col2,col3,col4
HMAS Penguin,Georges Heights,16.34046998,Australia,listed on the Commonwealth Heritage List
Golf Clubhouse,Georges Heights,0.02024743,Australia,listed on the Commonwealth Heritage List
Defence site - Georges Heights and Middle Head,Georges Heights,58.92617949,Australia,listed on the Commonwealth Heritage List
Ten Terminal Regiment Headquarters and AusAid Training Centre,Georges Heights,4.49631249,Australia,listed on the Commonwealth Heritage List
Euroa Post Office,Euroa,0.06334378,Australia,listed on the Commonwealth Heritage List
School Of Musketry,Enoggera,0.01995814,Australia,listed on the Commonwealth Heritage List
Metropolitan Fire Brigade Station,Elsternwick,0.03817359,Australia,listed on the Commonwealth Heritage List
Marrickville Post Office,Marrickville,0.01151738,Australia,listed on the Commonwealth Heritage List
Swan Island Defence Precinct,Queenscliff,295.08499113,Australia,listed on the Commonwealth Heritage List
Mulwala Homestead Precinct,Mulwala,727.93301189,Australia,listed on the Commonwealth Heritage List
Camperdown Post Office,Camperdown,0.08620223,Australia,listed on the Commonwealth Heritage List
Macquarie Lighthouse Group,Vaucluse,2.3090736,Australia,listed on the Commonwealth Heritage List
