col0,col1,col2,col3,col4,col5,col6
Madang Province,Papua New Guinea,Nake,province of Papua New Guinea,Papua New Guinea,Western Highlands Province,Madang
East Sepik Province,Papua New Guinea,Alamblak,province of Papua New Guinea,Momase Region,Madang Province,Wewak
Morobe Province,Papua New Guinea,Weri,province of Papua New Guinea,Papua New Guinea,Oro Province,Lae
Eastern Highlands Province,Papua New Guinea,Yaweyuha,province of Papua New Guinea,Papua New Guinea,Gulf,Goroka
Western Province,Papua New Guinea,Idi,province of Papua New Guinea,Papua New Guinea,Papua,Daru
Southern Highlands Province,Papua New Guinea,Oksapmin,province of Papua New Guinea,Papua New Guinea,Chimbu Province,Mendi
Western Province,Papua New Guinea,Tifal,province of Papua New Guinea,Papua New Guinea,Gulf,Daru
Sandaun Province,Papua New Guinea,Ningil,province of Papua New Guinea,Sepik,Papua,Vanimo
Madang Province,Papua New Guinea,Romkun,province of Papua New Guinea,Papua New Guinea,Chimbu Province,Madang
Western Province,Papua New Guinea,Pogaya language,province of Papua New Guinea,Papua New Guinea,Southern Highlands Province,Daru
Sandaun Province,Papua New Guinea,Arop language,province of Papua New Guinea,Papua New Guinea,Western Province,Vanimo
Madang Province,Papua New Guinea,Wanambre,province of Papua New Guinea,Papua New Guinea,East Sepik Province,Madang
Gulf,Papua New Guinea,Folopa,province of Papua New Guinea,Papua New Guinea,Chimbu Province,Kerema
Milne Bay Province,Papua New Guinea,Duau,province of Papua New Guinea,Papua New Guinea,Central Province,Alotau
Eastern Highlands Province,Papua New Guinea,Kuman language,province of Papua New Guinea,Papua New Guinea,Madang Province,Goroka
