col0,col1,col2,col3,col4,col5
"Achterweteringseweg 70, Maartensdijk",Netherlands,farmhouse,Achterweteringseweg,Maartensdijk,Rijksmonument
"Parkstraat 26, Liempde",Netherlands,farmhouse,Parkstraat,Liempde,Rijksmonument
"Oude Dijk 19, Liempde",Netherlands,farmhouse,Oude Dijk,Liempde,Rijksmonument
"Kapelstraat 22, Liempde",Netherlands,farmhouse,Kapelstraat,Liempde,Rijksmonument
"Hoevedreef 2, Liempde",Netherlands,farmhouse,Hoevedreef,Liempde,Rijksmonument
"Dokter van Noortstraat 24, Lienden",Netherlands,farmhouse,Dokter van Noortstraat,Lienden,Rijksmonument
"Burgemeester Houtkoperweg 18, Lienden",Netherlands,farmhouse,Burgemeester Houtkoperweg,Lienden,Rijksmonument
"Opperduit 452, Lekkerkerk",Netherlands,farmhouse,Opperduit,Lekkerkerk,Rijksmonument
"Noortheylaan 1, Leidschendam",Netherlands,farmhouse,Noortheylaan,Leidschendam,Rijksmonument
Piter Rindertsreedsje 3,Netherlands,farmhouse,Piter Rindertsreedsje,Jelsum,Rijksmonument
"Stationsstraat 58, Eext",Netherlands,farmhouse,Stationsstraat,Eext,Rijksmonument
"Hagenend 3, Anderen",Netherlands,farmhouse,Hagenend,Anderen,Rijksmonument
"Binnenweg 61, Ellecom",Netherlands,farmhouse,Binnenweg,Ellecom,Rijksmonument
