col0,col1,col2,col3,col4
estriol,Estrogen receptor 2,288.173,medication,Estriol
cortisol,Nuclear receptor subfamily 3 group C member 1,362.209,medication,hydrocortisone
progesterone,Progesterone receptor,314.225,medication,Progesterone
testolactone,Cytochrome P450 family 19 subfamily A member 1,300.172545,chemical compound,Testolactone
17β-estradiol,Nuclear receptor subfamily 1 group I member 2,272.178,chemical compound,Estradiol
norethindrone,Progesterone receptor,298.193,chemical compound,norethisterone
Levonorgestrel,Progesterone receptor,312.20893,chemical compound,levonorgestrel
ethinylestradiol,Estrogen receptor 2,296.178,chemical compound,Ethinylestradiol
estriol,Estrogen receptor 2,288.173,chemical compound,Estriol
progesterone,Progesterone receptor,314.225,chemical compound,Progesterone
