col0,col1,col2,col3,col4,col5
Adrastus,Aegiale,Talaus,Eurynome,human who may be fictional,Amphithea
Eurydice of Argos,Danaë,Lacedaemon,Sparta,king in Greek mythology,Akrisios
Polydorus,Labdacus,Cadmus,Harmonia,king in Greek mythology,Nykteis
Telephus,Eurypylus,Heracles,Auge,king in Greek mythology,Astyoche
"Cepheus, King of Aethiopia",Andromeda,Agenor,Achiroe,king in Greek mythology,Cassiopeia
Oenomaus,Hippodamia,Ares,Sterope,king in Greek mythology,Eurythoe
Laertes,Odysseus,Arcesius,Chalcomedusa,king in Greek mythology,Anticlea
Argus,Argus Panoptes,Zeus,Niobe,king in Greek mythology,Ismene
Polydorus,Labdacus,Cadmus,Harmonia,human who may be fictional,Nykteis
Telephus,Eurypylus,Heracles,Auge,human who may be fictional,Astyoche
