col0,col1,col2,col3,col4,col5
The Ruler of Time,Detective Conan,2011-09-16,Japanese,Gosho Aoyama,manga chapter
The Ghost of Time,Detective Conan,2011-09-16,Japanese,Gosho Aoyama,manga chapter
The Guardian of Time,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
The Truth of the Karuta Cards,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
Horsehair Crab from Suwa Lake,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
The Boy Who Cried Wolf,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
Fake Feet,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
The Moving Corpse,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
A Terrible Death,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
Communications Code,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
A Dangerous Game of Hide-and-seek,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
A Person in Need of Rescue,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
A Troublesome and Difficult Case,Detective Conan,2011-06-17,Japanese,Gosho Aoyama,manga chapter
