col0,col1,col2,col3,col4,col5,col6,col7
2004 FA Cup Final,Cristiano Ronaldo,association football,Jeff Winter,71350,2004-05-22,Millennium Stadium,Manchester United F.C.
2003 FA Cup Final,Robert Pires,association football,Graham Barber,73726,2003-05-17,Millennium Stadium,Arsenal F.C.
2002 FA Cup Final,Freddie Ljungberg,association football,Mike Riley,73963,2002-05-04,Millennium Stadium,Arsenal F.C.
1936 FA Cup Final,Ted Drake,association football,Harry Nattrass,93384,1936-04-25,Wembley Stadium,Arsenal F.C.
2012 FA Cup Final,Didier Drogba,association football,Phil Dowd,89102,2012-05-05,Wembley Stadium,Chelsea F.C.
2010 FA Cup Final,Didier Drogba,association football,Chris Foy,88335,2010-05-15,Wembley Stadium,Chelsea F.C.
2007 FA Cup Final,Didier Drogba,association football,Steve Bennett,89826,2007-05-19,Wembley Stadium,Chelsea F.C.
2009 FA Cup Final,Frank Lampard,association football,Howard Webb,89391,2009-05-30,Wembley Stadium,Chelsea F.C.
1970 FA Cup Final,Peter Osgood,association football,Eric Jennings,62078,1970-04-29,Old Trafford,Chelsea F.C.
1997 FA Cup Final,Roberto Di Matteo,association football,Stephen Lodge,79160,1997-05-17,Wembley Stadium,Chelsea F.C.
2000 FA Cup Final,Roberto Di Matteo,association football,Graham Poll,78217,2000-05-20,Wembley Stadium,Chelsea F.C.
1874 FA Cup Final,Charles Mackarness,association football,Alfred Stair,2000,1874-03-14,The Oval,Oxford University A.F.C.
