col0,col1,col2,col3,col4
Covered Vase,Covered Vase,Cleveland Museum of Art,item of collection or exhibition,1881-01-01
Plate with the Arms of the Pucci Family,Plate with the Arms of the Pucci Family,Cleveland Museum of Art,item of collection or exhibition,1532-01-01
Broth Basin,Broth Basin (Cover),Cleveland Museum of Art,item of collection or exhibition,1772-01-01
Box,Box,Cleveland Museum of Art,item of collection or exhibition,1982-01-01
Covered Vase,Covered Vase (cover) (1 of 2),Cleveland Museum of Art,item of collection or exhibition,1749-01-01
Pot,Pot,Cleveland Museum of Art,item of collection or exhibition,1962-01-01
Stand for Covered Tureen,Stand for Covered Tureen (2 of 2),Cleveland Museum of Art,item of collection or exhibition,1757-01-01
Plate Depicting Three Graces,Plate Depicting Three Graces,Cleveland Museum of Art,item of collection or exhibition,1525-01-01
Vase,Vase,Cleveland Museum of Art,item of collection or exhibition,1873-01-01
Broth Basin,Broth Basin (Stand),Cleveland Museum of Art,item of collection or exhibition,1772-01-01
Plate,Plate,Cleveland Museum of Art,item of collection or exhibition,1526-01-01
