col0,col1,col2,col3,col4,col5,col6
1997 Giro del Trentino,Tour of the Alps,1997-04-28,Italy,1996 Giro del Trentino,road bicycle racing,1998 Giro del Trentino
1996 Giro del Trentino,Tour of the Alps,1996-05-08,Italy,1995 Giro del Trentino,road bicycle racing,1997 Giro del Trentino
1995 Giro del Trentino,Tour of the Alps,1995-04-27,Italy,1994 Giro del Trentino,road bicycle racing,1996 Giro del Trentino
1994 Giro del Trentino,Tour of the Alps,1994-05-10,Italy,1993 Giro del Trentino,road bicycle racing,1995 Giro del Trentino
1993 Giro del Trentino,Tour of the Alps,1993-05-11,Italy,1992 Giro del Trentino,road bicycle racing,1994 Giro del Trentino
1992 Giro del Trentino,Tour of the Alps,1992-05-12,Italy,1991 Giro del Trentino,road bicycle racing,1993 Giro del Trentino
1991 Giro del Trentino,Tour of the Alps,1991-05-14,Italy,1990 Giro del Trentino,road bicycle racing,1992 Giro del Trentino
1990 Giro del Trentino,Tour of the Alps,1990-05-07,Italy,1989 Giro del Trentino,road bicycle racing,1991 Giro del Trentino
1989 Giro del Trentino,Tour of the Alps,1989-05-08,Italy,1988 Giro del Trentino,road bicycle racing,1990 Giro del Trentino
1988 Giro del Trentino,Tour of the Alps,1988-05-04,Italy,1987 Giro del Trentino,road bicycle racing,1989 Giro del Trentino
1985 Giro del Trentino,Tour of the Alps,1985-05-07,Italy,1984 Giro del Trentino,road bicycle racing,1986 Giro del Trentino
1984 Giro del Trentino,Tour of the Alps,1984-05-07,Italy,1983 Giro del Trentino,road bicycle racing,1985 Giro del Trentino
1983 Giro del Trentino,Tour of the Alps,1983-05-02,Italy,1982 Giro del Trentino,road bicycle racing,1984 Giro del Trentino
1982 Giro del Trentino,Tour of the Alps,1982-05-04,Italy,1981 Giro del Trentino,road bicycle racing,1983 Giro del Trentino
