col0,col1,col2,col3,col4,col5
2007 Four Continents Figure Skating Championships - ice dancing compulsory dance,Marie-France Dubreuil,2007-02-07,World Arena,Maria Borounov,United States of America
2006 Four Continents Figure Skating Championships - ice dancing compulsory dance,Tanith Belbin,2006-01-25,World Arena,Natalie Buck,United States of America
2007 Four Continents Figure Skating Championships - ice dancing compulsory dance,Patrice Lauzon,2007-02-07,World Arena,Huang Xintong,United States of America
2006 Four Continents Figure Skating Championships - ice dancing compulsory dance,Benjamin Agosto,2006-01-25,World Arena,Huang Xintong,United States of America
2007 Four Continents Figure Skating Championships - ice dancing compulsory dance,Marie-France Dubreuil,2007-02-07,World Arena,Huang Xintong,United States of America
2006 Four Continents Figure Skating Championships - ice dancing compulsory dance,Tanith Belbin,2006-01-25,World Arena,Huang Xintong,United States of America
2007 Four Continents Figure Skating Championships - ice dancing compulsory dance,Marie-France Dubreuil,2007-02-07,World Arena,Meryl Davis,United States of America
2009 Four Continents Figure Skating Championships - ice dancing compulsory dance,Tessa Virtue,2009-02-04,Pacific Coliseum,Meryl Davis,Canada
2005 Four Continents Figure Skating Championships - ice dancing compulsory dance,Tanith Belbin,2005-02-16,Gangneung,Natalie Buck,South Korea
2003 Four Continents Figure Skating Championships - ice dancing compulsory dance,Shae-Lynn Bourne,2003-02-12,Capital Indoor Stadium,Marie-France Dubreuil,People's Republic of China
2006 Four Continents Figure Skating Championships - ice dancing compulsory dance,Tanith Belbin,2006-01-25,World Arena,Yu Xiaoyang,United States of America
figure skating at the 2009 Winter Universiade - ice dancing compulsory dance,Roman Zaretsky,2009-02-21,Harbin International Conference Exhibition and Sports Center,Alexandra Zaretsky,People's Republic of China
2009 Trophée Eric Bompard - ice dancing compulsory dance,Tessa Virtue,2009-10-16,AccorHotels Arena,Tessa Virtue,France
