col0,col1,col2,col3,col4,col5,col6
2005 Cup of Russia - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2005 Cup of Russia - ice dancing,Figure Skating Federation of Russia,senior
2005 Trophée Éric Bompard - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2005 Trophée Éric Bompard - ice dancing,French Federation of Ice Sports,senior
2005 Cup of China - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2005 Cup of China - ice dancing,Chinese Skating Association,senior
2005 Skate Canada International - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2005 Skate Canada International - ice dancing,Skate Canada,senior
2005 Skate America - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2005 Skate America - ice dancing,U.S. Figure Skating,senior
2006 NHK Trophy - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2006 NHK Trophy - ice dancing,Japan Skating Federation,senior
2006 Cup of Russia - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2006 Cup of Russia - ice dancing,Figure Skating Federation of Russia,senior
2006 Trophée Eric Bompard - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2006 Trophée Eric Bompard - ice dancing,French Federation of Ice Sports,senior
2006 Cup of China - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2006 Cup of China - ice dancing,Chinese Skating Association,senior
2006 Skate Canada International - ice dancing compulsory dance,ISU Judging System,ice dance,compulsory dance,2006 Skate Canada International - ice dancing,Skate Canada,senior
