col0,col1,col2,col3,col4,col5
1982 Trofeo Laigueglia,1983 Trofeo Laigueglia,Italy,1981 Trofeo Laigueglia,Laigueglia,road bicycle racing
1983 Trofeo Laigueglia,1984 Trofeo Laigueglia,Italy,1982 Trofeo Laigueglia,Laigueglia,road bicycle racing
1984 Trofeo Laigueglia,1985 Trofeo Laigueglia,Italy,1983 Trofeo Laigueglia,Laigueglia,road bicycle racing
1985 Trofeo Laigueglia,1986 Trofeo Laigueglia,Italy,1984 Trofeo Laigueglia,Laigueglia,road bicycle racing
1986 Trofeo Laigueglia,1987 Trofeo Laigueglia,Italy,1985 Trofeo Laigueglia,Laigueglia,road bicycle racing
1987 Trofeo Laigueglia,1988 Trofeo Laigueglia,Italy,1986 Trofeo Laigueglia,Laigueglia,road bicycle racing
1988 Trofeo Laigueglia,1989 Trofeo Laigueglia,Italy,1987 Trofeo Laigueglia,Laigueglia,road bicycle racing
1989 Trofeo Laigueglia,1990 Trofeo Laigueglia,Italy,1988 Trofeo Laigueglia,Laigueglia,road bicycle racing
1990 Trofeo Laigueglia,1991 Trofeo Laigueglia,Italy,1989 Trofeo Laigueglia,Laigueglia,road bicycle racing
1991 Trofeo Laigueglia,1992 Trofeo Laigueglia,Italy,1990 Trofeo Laigueglia,Laigueglia,road bicycle racing
1992 Trofeo Laigueglia,1993 Trofeo Laigueglia,Italy,1991 Trofeo Laigueglia,Laigueglia,road bicycle racing
1993 Trofeo Laigueglia,1994 Trofeo Laigueglia,Italy,1992 Trofeo Laigueglia,Laigueglia,road bicycle racing
1994 Trofeo Laigueglia,1995 Trofeo Laigueglia,Italy,1993 Trofeo Laigueglia,Laigueglia,road bicycle racing
