col0,col1,col2,col3,col4,col5
Roadside station Shiosai-ichiba Hofu,Hōfu,municipal road,municipal road,2015-10-10,Minato Oasis
Uminpia Osaka,Ōi,Japan National Route 27,Japan National Route 27,2013-05-01,Minato Oasis
Roadside station Bingo-Fuchu,Fuchū,municipal road,municipal road,2016-10-22,roadside station in Japan
Roadside station Sasebox99,Sasebo,Nishi-Kyūshū Expressway,Nishi-Kyūshū Expressway,2016-04-24,roadside station in Japan
Roadside station Inawashiro,Inawashiro,Japan National Route 115,Japan National Route 115,2016-11-19,roadside station in Japan
roadside station in Mitakido,Tome,Japan National Route 45,Japan National Route 398,2017-04-01,roadside station in Japan
Roadside station Shonai,Shōnai,Japan National Route 47,Japan National Route 47,2016-10-08,roadside station in Japan
Roadside station Ugo,Ugo,Japan National Route 398,Japan National Route 398,2016-07-01,roadside station in Japan
Shinshu Oshiba Heights,Minamiminowa,municipal road,municipal road,2018-07-21,roadside station in Japan
Roadside station Yotte-Nishitosa,Shimanto,Japan National Route 441,Japan National Route 441,2016-04-10,roadside station in Japan
Roadside station Nichinan Hinogawa-no-sato,Nichinan,Okayama Prefectural Road and Tottori Prefectural Road Route 8,Okayama Prefectural Road and Tottori Prefectural Road Route 8,2016-04-22,roadside station in Japan
Roadside station Tsubame-Sanjo Jibasan center,Sanjō,municipal road,municipal road,2016-03-25,roadside station in Japan
Roadside station Misogi-no-sato Kikonai,Kikonai,Hokkaido Prefectural Road Route 383,Hokkaido Prefectural Road Route 383,2016-01-13,roadside station in Japan
