col0,col1,col2,col3,col4,col5,col6
2SLAQ J021925.06+004520.3,5.16,20.22,BL Lac object,1.7441,34.8544574772203,J2000.0
87GB 035920.7+135739,-0.635,18.3158,BL Lac object,0.3933,60.525910763944,J2000.0
QSO J0009+0628,-0.335,18.14,BL Lac object,0.0568,2.2663848334977,J2000.0
3FGL J1426.2+3402,-0.32,17.51,BL Lac object,0.1641,216.5321523556239,J2000.0
7C 142250.79+362906.00,-0.146,17.8,BL Lac object,0.3172,216.2312990115605,J2000.0
7C 142217.10+371928.00,-0.2,19.13,BL Lac object,0.5582,216.0882555042582,J2000.0
2MASS J14242293+3433567,-0.181,19.63,BL Lac object,1.0345,216.0954583621711,J2000.0
87GB 142101.3+375014,-0.007,18.66,BL Lac object,0.0735,215.7692274436788,J2000.0
6C 101157+494057,-0.298,16.15,BL Lac object,0.0165,153.7672474013646,J2000.0
[MML2015] 5BZB J1107+5010,-0.804,19.79,BL Lac object,0.1701,166.7699031687127,J2000.0
2MASX J11241311+5133494,0.312,17.01,BL Lac object,0.037,171.0548520369867,J2000.0
2MASX J08390306+4015457,0.176,13.328,BL Lac object,0.436,129.7628490691079,J2000.0
2QZ J111717.5+000632,-0.793,19.38,BL Lac object,0.6527,169.3230681920899,J2000.0
4C 20.25,-0.374,17.96,BL Lac object,0.0056,171.494759874186,J2000.0
NVSS J112059+014457,-0.602,19.48,BL Lac object,1.2002,170.2489321520669,J2000.0
