col0,col1,col2,col3,col4,col5
USS Philadelphia,United States of America,World War II,Brooklyn class,Philadelphia Naval Shipyard,Brazilian Navy
HMS Aurora,United Kingdom,World War II,Arethusa class cruiser,HMNB Portsmouth,People's Liberation Army Navy
HMAS Canberra,Australia,World War II,Kent-class heavy cruiser,John Brown & Company,Royal Australian Navy
HMS Aurora,United Kingdom,World War II,Arethusa class cruiser,HMNB Portsmouth,Republic of China Navy
HMS Brilliant,United Kingdom,World War I,Apollo-class cruiser,Sheerness Dockyard,Royal Navy
HMS Latona,United Kingdom,World War I,Apollo-class cruiser,Vickers,Royal Navy
HMS Intrepid,United Kingdom,World War I,Apollo-class cruiser,London and Glasgow Shipbuilding Company,Royal Navy
HMS Iphigenia,United Kingdom,World War I,Apollo-class cruiser,London and Glasgow Shipbuilding Company,Royal Navy
HMS St George,United Kingdom,World War I,Edgar-class cruiser,Earle's Shipbuilding,Royal Navy
HMS Aurora,United Kingdom,World War II,Arethusa class cruiser,HMNB Portsmouth,Royal Navy
HMAS Canberra,Australia,World War II,Kent-class heavy cruiser,John Brown & Company,Royal Navy
HMS Fiji,United Kingdom,World War II,Crown Colony-class cruiser,John Brown & Company,Royal Navy
HMS Thetis,United Kingdom,World War I,Apollo-class cruiser,John Brown & Company,Royal Navy
HMS Glasgow,United Kingdom,World War II,Southampton-class cruiser,Scotts Shipbuilding and Engineering Company,Royal Navy
HMS Bonaventure,United Kingdom,World War II,light cruiser,Scotts Shipbuilding and Engineering Company,Royal Navy
