IUPOCN5C,1,0,Kelso Township,['Kelso Township' 25.65 281]
IUPOCN5C,2,0,Laurel Township,['Laurel Township' 82.2 216]
IUPOCN5C,1,1,NIL,['Kelso Township' 25.65 281]
IUPOCN5C,2,1,NIL,['Laurel Township' 82.2 216]
IUPOCN5C,1,2,281,['Kelso Township' 25.65 281]
IUPOCN5C,2,2,216,['Laurel Township' 82.2 216]
BQC7DZZR,1,0,Brookville Township,['Brookville Township' 67.09 192]
BQC7DZZR,2,0,Miller Township,['Miller Township' 26.37 173]
BQC7DZZR,3,0,Mill Township,['Mill Township' 23.19 259]
BQC7DZZR,4,0,Greenville Township,['Greenville Township' 33.5 250]
BQC7DZZR,5,0,Princeton Township,['Princeton Township' 62.53 211]
BQC7DZZR,1,1,NIL,['Brookville Township' 67.09 192]
BQC7DZZR,2,1,NIL,['Miller Township' 26.37 173]
BQC7DZZR,3,1,NIL,['Mill Township' 23.19 259]
BQC7DZZR,4,1,NIL,['Greenville Township' 33.5 250]
BQC7DZZR,5,1,NIL,['Princeton Township' 62.53 211]
BQC7DZZR,1,2,192,['Brookville Township' 67.09 192]
BQC7DZZR,2,2,173,['Miller Township' 26.37 173]
BQC7DZZR,3,2,259,['Mill Township' 23.19 259]
BQC7DZZR,4,2,250,['Greenville Township' 33.5 250]
BQC7DZZR,5,2,211,['Princeton Township' 62.53 211]
C8RTQNU5,1,0,Noble Township,['Noble Township' 26.21 229]
C8RTQNU5,2,0,Noble Township,['Noble Township' 31.13 292]
C8RTQNU5,3,0,Noble Township,['Noble Township' 35.15 274]
C8RTQNU5,4,0,Noble Township,['Noble Township' 36.32 250]
C8RTQNU5,5,0,Noble Township,['Noble Township' 82.39 215]
C8RTQNU5,1,1,NIL,['Noble Township' 26.21 229]
C8RTQNU5,2,1,NIL,['Noble Township' 31.13 292]
C8RTQNU5,3,1,NIL,['Noble Township' 35.15 274]
C8RTQNU5,4,1,NIL,['Noble Township' 36.32 250]
C8RTQNU5,5,1,NIL,['Noble Township' 82.39 215]
C8RTQNU5,1,2,229,['Noble Township' 26.21 229]
C8RTQNU5,2,2,292,['Noble Township' 31.13 292]
C8RTQNU5,3,2,274,['Noble Township' 35.15 274]
C8RTQNU5,4,2,250,['Noble Township' 36.32 250]
C8RTQNU5,5,2,215,['Noble Township' 82.39 215]
JKS5KAJR,1,0,Abington Township,['Abington Township' 21.17 326]
JKS5KAJR,2,0,Concord Township,['Concord Township' 17.96 253]
JKS5KAJR,3,0,Concord Township,['Concord Township' 36.86 233]
JKS5KAJR,4,0,Hickory Grove Township,['Hickory Grove Township' 28.9 227]
JKS5KAJR,5,0,Ohio Township,['Ohio Township' 68.16 129]
JKS5KAJR,6,0,Ohio Township,['Ohio Township' 20.26 206]
JKS5KAJR,7,0,Ohio Township,['Ohio Township' 30.73 181]
JKS5KAJR,1,1,NIL,['Abington Township' 21.17 326]
JKS5KAJR,2,1,NIL,['Concord Township' 17.96 253]
JKS5KAJR,3,1,NIL,['Concord Township' 36.86 233]
JKS5KAJR,4,1,NIL,['Hickory Grove Township' 28.9 227]
JKS5KAJR,5,1,NIL,['Ohio Township' 68.16 129]
