tab_id,row_id,col_id,label,context,entity
IUPOCN5C,1,0,Kelso Township,"['Kelso Township', 25.65, 281]",http://www.wikidata.org/entity/Q6386554
IUPOCN5C,2,0,Laurel Township,"['Laurel Township', 82.2, 216]",http://www.wikidata.org/entity/Q6500028
BQC7DZZR,1,0,Brookville Township,"['Brookville Township', 67.09, 192]",http://www.wikidata.org/entity/Q4975221
BQC7DZZR,2,0,Miller Township,"['Miller Township', 26.37, 173]",http://www.wikidata.org/entity/Q7996163
BQC7DZZR,3,0,Mill Township,"['Mill Township', 23.19, 259]",http://www.wikidata.org/entity/Q6858435
BQC7DZZR,4,0,Greenville Township,"['Greenville Township', 33.5, 250]",http://www.wikidata.org/entity/Q5604744
BQC7DZZR,5,0,Princeton Township,"['Princeton Township', 62.53, 211]",http://www.wikidata.org/entity/Q5858248
C8RTQNU5,1,0,Noble Township,"['Noble Township', 26.21, 229]",http://www.wikidata.org/entity/Q972365
C8RTQNU5,2,0,Noble Township,"['Noble Township', 31.13, 292]",http://www.wikidata.org/entity/Q7045791
C8RTQNU5,3,0,Noble Township,"['Noble Township', 35.15, 274]",http://www.wikidata.org/entity/Q7045796
C8RTQNU5,4,0,Noble Township,"['Noble Township', 36.32, 250]",http://www.wikidata.org/entity/Q7045803
C8RTQNU5,5,0,Noble Township,"['Noble Township', 82.39, 215]",http://www.wikidata.org/entity/Q7045806
JKS5KAJR,1,0,Abington Township,"['Abington Township', 21.17, 326]",http://www.wikidata.org/entity/Q4667881
JKS5KAJR,2,0,Concord Township,"['Concord Township', 17.96, 253]",http://www.wikidata.org/entity/Q5158874
JKS5KAJR,3,0,Concord Township,"['Concord Township', 36.86, 233]",http://www.wikidata.org/entity/Q5158879
JKS5KAJR,4,0,Hickory Grove Township,"['Hickory Grove Township', 28.9, 227]",http://www.wikidata.org/entity/Q5665606
JKS5KAJR,5,0,Ohio Township,"['Ohio Township', 68.16, 129]",http://www.wikidata.org/entity/Q7995885
JKS5KAJR,6,0,Ohio Township,"['Ohio Township', 20.26, 206]",http://www.wikidata.org/entity/Q7080988
JKS5KAJR,7,0,Ohio Township,"['Ohio Township', 30.73, 181]",http://www.wikidata.org/entity/Q7080993
FZAS3QBH,1,0,Warren Township,"['Warren Township', 29.44, 262]",http://www.wikidata.org/entity/Q7970532
FZAS3QBH,2,0,Warren Township,"['Warren Township', 24.4, 260]",http://www.wikidata.org/entity/Q7970534
C3SOO0DD,1,0,Florida Township,"['Florida Township', 48.47, 186]",http://www.wikidata.org/entity/Q5461691
C3SOO0DD,2,0,Salt Creek Township,"['Salt Creek Township', 43.03, 169]",http://www.wikidata.org/entity/Q5549535
