tab_id,row_id,col_id,entity
IUPOCN5C,1,0,http://www.wikidata.org/entity/Q5050137
IUPOCN5C,2,0,http://www.wikidata.org/entity/Q7826361
BQC7DZZR,1,0,http://www.wikidata.org/entity/Q7042409
BQC7DZZR,2,0,http://www.wikidata.org/entity/Q4954537
BQC7DZZR,3,0,http://www.wikidata.org/entity/Q5067823
BQC7DZZR,4,0,http://www.wikidata.org/entity/Q10678224
BQC7DZZR,5,0,http://www.wikidata.org/entity/Q5687823
C8RTQNU5,1,0,http://www.wikidata.org/entity/Q2407167
C8RTQNU5,2,0,http://www.wikidata.org/entity/Q5060053
C8RTQNU5,3,0,http://www.wikidata.org/entity/Q5060053
C8RTQNU5,4,0,http://www.wikidata.org/entity/Q5135453
C8RTQNU5,5,0,http://www.wikidata.org/entity/Q7042409
JKS5KAJR,1,0,http://www.wikidata.org/entity/Q5662409
JKS5KAJR,2,0,http://www.wikidata.org/entity/Q5669509
JKS5KAJR,3,0,http://www.wikidata.org/entity/Q5662409
JKS5KAJR,4,0,http://www.wikidata.org/entity/Q4954537
JKS5KAJR,5,0,http://www.wikidata.org/entity/Q6354053
JKS5KAJR,6,0,http://www.wikidata.org/entity/Q5020137
JKS5KAJR,7,0,http://www.wikidata.org/entity/Q5137823
FZAS3QBH,1,0,http://www.wikidata.org/entity/Q5667823
FZAS3QBH,2,0,http://www.wikidata.org/entity/Q10678202
C3SOO0DD,1,0,http://www.wikidata.org/entity/Q5060971
C3SOO0DD,2,0,http://www.wikidata.org/entity/Q5669509
C3SOO0DD,3,0,http://www.wikidata.org/entity/Q7049509
C3SOO0DD,4,0,http://www.wikidata.org/entity/Q5662409
K4A0E0QL,1,0,http://www.wikidata.org/entity/Q56115902
K4A0E0QL,2,0,http://www.wikidata.org/entity/Q106724623
9BGB7SWG,1,0,http://www.wikidata.org/entity/Q193227
9BGB7SWG,2,0,http://www.wikidata.org/entity/Q23132
9BGB7SWG,3,0,http://www.wikidata.org/entity/Q201987
NBR61LS1,1,0,http://www.wikidata.org/entity/Q23060
NBR61LS1,2,0,http://www.wikidata.org/entity/Q21166432
R9VI0ZU0,1,0,http://www.wikidata.org/entity/Q25298762
R9VI0ZU0,1,1,http://www.wikidata.org/entity/Q23542
R9VI0ZU0,2,0,http://www.wikidata.org/entity/Q4909870
R9VI0ZU0,2,1,http://www.wikidata.org/entity/Q1806
I5QUEVR8,1,0,http://www.wikidata.org/entity/Q4664537
I5QUEVR8,2,0,http://www.wikidata.org/entity/Q11526851
9155JW8C,1,0,http://www.wikidata.org/entity/Q3395680
9155JW8C,2,0,http://www.wikidata.org/entity/Q845916
9155JW8C,3,0,http://www.wikidata.org/entity/Q1564732
9155JW8C,4,0,http://www.wikidata.org/entity/Q467473
9155JW8C,5,0,http://www.wikidata.org/entity/Q811453
9155JW8C,6,0,http://www.wikidata.org/entity/Q6742409
9155JW8C,7,0,http://www.wikidata.org/entity/Q782472
9155JW8C,8,0,http://www.wikidata.org/entity/Q4720137
9155JW8C,9,0,http://www.wikidata.org/entity/Q464204
9155JW8C,10,0,http://www.wikidata.org/entity/Q649473
TF13GBS9,1,0,http://www.wikidata.org/entity/Q649473
TF13GBS9,2,0,http://www.wikidata.org/entity/Q7357313
TF13GBS9,3,0,http://www.wikidata.org/entity/Q916561
TF13GBS9,4,0,http://www.wikidata.org/entity/Q801916
TF13GBS9,5,0,http://www.wikidata.org/entity/Q4856361
TF13GBS9,6,0,http://www.wikidata.org/entity/Q7216415
TF13GBS9,7,0,http://www.wikidata.org/entity/Q8114537
TF13GBS9,8,0,http://www.wikidata.org/entity/Q4983395
TBSWV5UB,1,0,http://www.wikidata.org/entity/Q6753395
TBSWV5UB,2,0,http://www.wikidata.org/entity/Q809721
XPQYMX6R,1,0,http://www.wikidata.org/entity/Q9169796
XPQYMX6R,2,0,http://www.wikidata.org/entity/Q134328
BGMLF9DR,1,0,http://www.wikidata.org/entity/Q636240
BGMLF9DR,2,0,http://www.wikidata.org/entity/Q1054537
DOK169HR,1,0,http://www.wikidata.org/entity/Q61013508
DOK169HR,2,0,http://www.wikidata.org/entity/Q61013508
7H4WB3MC,1,0,http://www.wikidata.org/entity/Q61057861
7H4WB3MC,2,0,http://www.wikidata.org/entity/Q61057861
7H4WB3MC,3,0,http://www.wikidata.org/entity/Q61010655
7H4WB3MC,4,0,http://www.wikidata.org/entity/Q61010655
7H4WB3MC,5,0,http://www.wikidata.org/entity/Q61010655
ATPHR1DK,1,0,http://www.wikidata.org/entity/Q61010655
ATPHR1DK,2,0,http://www.wikidata.org/entity/Q61010655
ATPHR1DK,3,0,http://www.wikidata.org/entity/Q61010655
ATPHR1DK,4,0,http://www.wikidata.org/entity/Q61010655
ATPHR1DK,5,0,http://www.wikidata.org/entity/Q61082782
ATPHR1DK,6,0,http://www.wikidata.org/entity/Q61082782
0WR8HB5F,1,0,http://www.wikidata.org/entity/Q639636
0WR8HB5F,2,0,http://www.wikidata.org/entity/Q1637219
0WR8HB5F,3,0,http://www.wikidata.org/entity/Q7335680
0WR8HB5F,4,0,http://www.wikidata.org/entity/Q571916
0WR8HB5F,5,0,http://www.wikidata.org/entity/Q4866361
0WR8HB5F,6,0,http://www.wikidata.org/entity/Q5687823
0WR8HB5F,7,0,http://www.wikidata.org/entity/Q4909870
AW4BZJGK,1,0,http://www.wikidata.org/entity/Q1902409
AW4BZJGK,2,0,http://www.wikidata.org/entity/Q1637219
AW4BZJGK,3,0,http://www.wikidata.org/entity/Q50391621
AW4BZJGK,4,0,http://www.wikidata.org/entity/Q1637219
AW4BZJGK,5,0,http://www.wikidata.org/entity/Q21224038
AW4BZJGK,6,0,http://www.wikidata.org/entity/Q4664537
AW4BZJGK,7,0,http://www.wikidata.org/entity/Q24297964
AW4BZJGK,8,0,http://www.wikidata.org/entity/Q21608900
3S53OZSF,1,0,http://www.wikidata.org/entity/Q31491621
3S53OZSF,2,0,http://www.wikidata.org/entity/Q7569870
3S53OZSF,3,0,http://www.wikidata.org/entity/Q48120439
3S53OZSF,4,0,http://www.wikidata.org/entity/Q7499165
3S53OZSF,5,0,http://www.wikidata.org/entity/Q5611597
